"Timestamp","TZ","SOLAR (W/m2)","RAINFALL (mm)","WIND SPEED (m/s)","WIND DIRN (DEG)","AIR TEMP (DEG)","VAPOUR PRESS (kPa)","ATM PRESS (kPa)","REL HUMID (%)","TB COUNT","TB rainfall mm (mm)"
2019/11/23 08:00:00.000,n,441,0,-1.9,2.6,27.9,1.99,100.82,0.634,0,0
2019/11/23 08:15:00.010,n,452,0,-1.9,3.2,28.4,1.92,100.81,0.609,0,0
2019/11/23 08:30:00.000,n,657,0,-1.8,2.7,29.8,1.98,100.8,0.588,0,0
2019/11/23 08:45:00.000,n,483,0,-1.6,3.2,29.5,1.88,100.81,0.572,0,0
2019/11/23 09:00:00.002,n,794,0,-1.9,2.5,30.1,1.89,100.79,0.558,0,0
2019/11/23 09:15:00.000,n,862,0,-1.6,2.8,30.2,1.87,100.78,0.542,0,0
2019/11/23 09:30:00.000,n,919,0,-1.9,2.7,30.6,1.85,100.76,0.523,0,0
2019/11/23 09:45:00.009,n,936,0,-2.2,2.8,31.6,1.84,100.76,0.496,0,0
2019/11/23 10:00:00.010,n,841,0,-2,2.5,31.4,1.82,100.75,0.487,0,0
2019/11/23 10:15:00.004,n,924,0,-1.4,2.4,31.1,1.78,100.73,0.481,0,0
2019/11/23 10:30:00.014,n,994,0,-1.8,2.6,31.1,1.73,100.71,0.462,0,0
2019/11/23 10:45:00.000,n,1017,0,-2.2,2.4,31,1.75,100.68,0.462,0,0
2019/11/23 11:00:00.001,n,1028,0,-2.1,2.7,30.9,1.76,100.66,0.468,0,0
2019/11/23 11:15:00.003,n,1041,0,-1.9,1.5,30.8,1.74,100.64,0.455,0,0
2019/11/23 11:30:00.005,n,1046,0,-2,0.9,30.3,1.73,100.63,0.462,0,0
2019/11/23 11:45:00.000,n,1048,0,-1.5,2.5,30.1,1.71,100.61,0.456,0,0
2019/11/23 12:00:00.001,n,1046,0,-1.9,-1,30.3,1.71,100.58,0.453,0,0
2019/11/23 12:15:00.011,n,1040,0,-0.9,2.1,30.3,1.73,100.57,0.46,0,0
2019/11/23 12:30:00.000,n,1032,0,-2.2,1,30.4,1.72,100.55,0.445,0,0
2019/11/23 12:45:00.001,n,1018,0,-2.3,1.7,30.4,1.69,100.53,0.449,0,0
2019/11/23 13:00:00.003,n,996,0,-2.2,1.8,30.7,1.69,100.51,0.438,0,0
2019/11/23 13:15:00.000,n,974,0,-2.2,1.9,30.9,1.69,100.49,0.435,0,0
2019/11/23 13:30:00.011,n,946,0,-1.4,0.9,31.4,1.71,100.46,0.432,0,0
2019/11/23 13:45:00.004,n,916,0,-2.4,1.7,31.5,1.69,100.45,0.427,0,0
2019/11/23 14:00:00.000,n,881,0,-2.5,1.2,31.7,1.67,100.43,0.415,0,0
2019/11/23 14:15:00.010,n,840,0,-2.6,1.8,31.8,1.63,100.42,0.408,0,0
2019/11/23 14:30:00.003,n,800,0,-2.3,1.1,31.6,1.56,100.41,0.395,0,0
2019/11/23 14:45:00.000,n,756,0,-1,1,31.4,1.51,100.39,0.39,0,0
2019/11/23 15:00:00.009,n,707,0,-0.9,0.7,31.4,1.52,100.36,0.388,0,0
2019/11/23 15:15:00.003,n,657,0,-2.4,1.4,31.4,1.59,100.34,0.404,0,0
2019/11/23 15:30:00.000,n,605,0,-3,1.3,30.8,1.58,100.32,0.422,0,0
2019/11/23 15:45:00.004,n,552,0,-3.1,-1.7,30.2,1.58,100.31,0.438,0,0
2019/11/23 16:00:00.001,n,494,0,-1.3,0.8,30,1.6,100.31,0.434,0,0
2019/11/23 16:15:00.000,n,437,0,-2.5,1.4,29.5,1.62,100.31,0.46,0,0
2019/11/23 16:30:00.009,n,380,0,-2.3,0.9,29.1,1.64,100.3,0.468,0,0
2019/11/23 16:45:00.003,n,320,0,-2,1,29,1.67,100.3,0.479,0,0
2019/11/23 17:00:00.000,n,261,0,-1.5,0.4,28.6,1.75,100.32,0.516,0,0
2019/11/23 17:15:00.010,n,206,0,-1.6,0.5,27.7,1.8,100.35,0.548,0,0
2019/11/23 17:30:00.002,n,116,0,-2.2,2,26.6,1.79,100.37,0.564,0,0
2019/11/23 17:45:00.000,n,43,0,-2,2.1,25.5,1.8,100.39,0.579,0,0
2019/11/23 18:00:00.002,n,22,0,-2.7,2.8,24.7,1.8,100.4,0.594,0,0
2019/11/23 18:15:00.002,n,9,0,-2.7,2.6,24.1,1.81,100.4,0.61,0,0
2019/11/23 18:30:00.000,n,2,0,-2.7,3,23.7,1.86,100.4,0.637,0,0
